S;BKE022508SES00000002;BKE022508INV00000004;62000;BKE02;0;0;1;17CR2V20B80GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;63000;BKE02;0;0;1;17CR2V20GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;64000;BKE02;0;0;1;17PL06GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;65000;BKE02;0;0;1;17PL07GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;66000;BKE02;0;0;1;17PL10GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;67000;BKE02;0;0;1;17PL10X20X50B80GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;68000;BKE02;0;0;1;17PL10X20X50GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;69000;BKE02;0;0;1;17PL152/6A530GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;70000;BKE02;0;0;1;17PL15A650GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;71000;BKE02;0;0;1;17PL15B120GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;72000;BKE02;0;0;1;17PL15B80GAM;;A;UN;485;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;73000;BKE02;0;0;1;17PL15GAM;;A;UN;434;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;74000;BKE02;0;0;1;17PL15L40GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;75000;BKE02;0;0;1;17PL15L50GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;76000;BKE02;0;0;1;17PL202/6A65040GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;77000;BKE02;0;0;1;17PL202/6A650GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;78000;BKE02;0;0;1;17PL20B120GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;79000;BKE02;0;0;1;17PL20B40GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;80000;BKE02;0;0;1;17PL20B60GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;81000;BKE02;0;0;1;17PL20B80A650GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;82000;BKE02;0;0;1;17PL20B80GAM;;A;UN;626,22618;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;83000;BKE02;0;0;1;17PL20GAM;;A;UN;545;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;84000;BKE02;0;0;1;17PL20L40GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;85000;BKE02;0;0;1;21HALP202/6A530GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;86000;BKE02;0;0;1;21HALPH07GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;87000;BKE02;0;0;1;21HALPH12A650GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;88000;BKE02;0;0;1;21HALPH12GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;89000;BKE02;0;0;1;21HALPH16A650GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;90000;BKE02;0;0;1;21HALPH16GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;91000;BKE02;0;0;1;21HALPH16L53GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;92000;BKE02;0;0;1;21HALPH20A650GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;93000;BKE02;0;0;1;21HALPH20GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;94000;BKE02;0;0;1;21HALPH252/6GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;95000;BKE02;0;0;1;21HALPH25GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;96000;BKE02;0;0;1;21HALPH30GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;97000;BKE02;0;0;1;22NV200GAM;;A;M;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;98000;BKE02;0;0;1;22NV235GAM;;A;M;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;99000;BKE02;0;0;1;22NV280GAM;;A;ML;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;100000;BKE02;0;0;1;22NV330GAM;;A;ML;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;101000;BKE02;0;0;1;22NV335GAM;;A;M;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;102000;BKE02;0;0;1;22NV350GAM;;A;ML;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;103000;BKE02;0;0;1;22NV355GAM;;A;ML;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;104000;BKE02;0;0;1;22NV400GAM;;A;ML;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;105000;BKE02;0;0;1;22NV455GAM;;A;ML;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;106000;BKE02;0;0;1;22NV460GAM;;A;ML;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;107000;BKE02;0;0;1;22NV480GAM;;A;ML;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;108000;BKE02;0;0;1;22NV525GAM;;A;ML;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;109000;BKE02;0;0;1;22NV545GAM;;A;ML;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;110000;BKE02;0;0;1;22NV610GAM;;A;ML;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;111000;BKE02;0;0;1;22NV675GAM;;A;ML;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;112000;BKE02;0;0;1;22NV680GAM;;A;ML;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;113000;BKE02;0;0;1;22NV685GAM;;A;ML;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;114000;BKE02;0;0;1;22NV700A/BGAM;;A;ML;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;115000;BKE02;0;0;1;22NV750GAM;;A;ML;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;116000;BKE02;0;0;1;23HT15A650GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;117000;BKE02;0;0;1;23HT15GAM;;A;UN;0;BKE2;
